recordingID,SpeakerID,birthYear,info,eduLevel,occLevel,firstLang,homeLang,sex
fn000001,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000002,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000009,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000010,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000011,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000012,N00023,1973,radio: broadcast local radio,midden,beroep dat een lagere opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000003,N00013,1958,radio: broadcast local radio,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000004,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000005,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000006,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000081,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000082,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000083,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000084,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000085,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000086,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000087,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000088,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000089,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000090,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
fn000091,N00059,1973,interview with teacher of Dutch,hoog,beroep dat een middelhoge opleiding veronderstelt,Standaard Nederlands,Standaard Nederlands,man
