personId,Gender,Native_language,Occupation,age
p01,M,Dutch,Biomedical Technology student,24
p02,F,Dutch,medical student,20
p03,M,Dutch,student,20
p04,F,Dutch,medical student,25
p05,M,Dutch,medical student,26
p06,M,Dutch,International Business student,21
p07,M,Dutch,Business Administration student,22
p08,F,Dutch,psychologist,24
p09,F,Dutch,Law student,22
p10,M,Dutch,medical student,28
p11,F,Dutch,Human Movement Sciences student,20
p12,F,Dutch,Psychology student,22
p13,M,Dutch,International Business student,20
p14,M,Dutch,student,20
p15,F,Dutch,Educational Sciences/Psychology student,21
p16,F,Dutch,Social Work student,27
