,wav_filename,wav_filesize,transcript,common_part,region,duration,duration_seconds,filename,chirp_wer,Deepgram_wer,googleSTT_wer,seamless_wer,whisper_wer
0,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701073(065).wav,90924,ongelofelijk op grond van de keren dat ze in het verleden hebben plaats gevat ja ja ja maar dat begrijp 'k wel,701073,oost_vlaams,0 days 00:00:04,4.0,fv701073(065),0.22727272727272727,0.2727272727272727,0.45454545454545453,0.8181818181818182,0.5909090909090909
1,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv901015(106).wav,68604,ja maar ik heb explorer ja ik heb dat toch al gekund hier,901015,vlaams_brab,0 days 00:00:04,4.0,fv901015(106),0.23076923076923078,0.7692307692307693,0.5384615384615384,0.7692307692307693,0.5384615384615384
2,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700061(059).wav,172204,zo met haar hoofd in ha in haar in haar uhm uh met haar handen in haar hoofd,700061,limburg,0 days 00:00:04,4.0,fv700061(059),0.3333333333333333,0.7777777777777778,0.3333333333333333,0.6111111111111112,0.7222222222222222
3,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008305(028).wav,66940,en dan uh ergens midden in de nacht hier komen ok,008305,,0 days 00:00:04,4.0,fn008305(028),0.8181818181818182,1.0,1.0,1.0,1.0
4,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006810(026).wav,158988,daar waren wij nog wel benieuwd g naar hoe dat gegaan was oh ik heb eigenlijk geen idee,006810,,0 days 00:00:04,4.0,fn006810(026),0.1111111111111111,1.0,0.2222222222222222,0.3333333333333333,0.2777777777777778
5,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv900034(024).wav,418412,uh uit het verhaal dat door beide partijen werd opgenomen blijkt dat het huwelijk van uh partijen door de jaren heen al talr-rijke dieptepunten heeft gekend met een paar uh kortstondige scheidingen en zo,900034,vlaams_brab,0 days 00:00:04,4.0,fv900034(024),0.20588235294117646,0.20588235294117646,0.20588235294117646,0.20588235294117646,0.3235294117647059
6,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701222(011).wav,100876,voordat 'k niet meer kan ggg want 't is hoognodig want d'r uh staat daar alweer een vijsje los,701222,west_vlaams,0 days 00:00:04,4.0,fv701222(011),0.5263157894736842,0.7894736842105263,0.47368421052631576,0.7894736842105263,0.9473684210526315
7,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700178(041).wav,164204,ge zijt ah ja da 's waar ge zijt de eerste week ook al weg ja maandag en dinsdag niet,700178,limburg,0 days 00:00:04,4.0,fv700178(041),0.3,0.85,0.35,0.7,0.8
8,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008335(034).wav,111836,mm-hu dus die ontmoet ik in amsterdam en aanvankelijk zou ineke mee maar dat doet ze xxx dus nu niet,008335,,0 days 00:00:04,4.0,fn008335(034),0.3,0.4,0.5,0.25,0.75
9,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\nl\fn008242(094).wav,67340,die doet ze 's avonds in de wasmachine en in de droger en de volgende dag doet ze ze weer aan,008242,,0 days 00:00:04,4.0,fn008242(094),0.09523809523809523,1.0,0.23809523809523808,0.2857142857142857,0.5238095238095238
10,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv900001(018).wav,170252,dus dat is een meerprijs van uh een g eenentwintigduizend twintigduizend,900001,vlaams_brab,0 days 00:00:04,4.0,fv900001(018),0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.5454545454545454
11,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006927(083).wav,135308,die schoudervulling blijft zo op z'n plaats zitten jawel maar de blouse schuift toch nog,006927,,0 days 00:00:04,4.0,fn006927(083),0.4666666666666667,1.0,0.6,0.8,0.8
12,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006821(069).wav,262188,en dan houdt 't op ja op een gegeven moment hoor ja ik heb 't met uh m'n zus die had 't ook op een gegeven moment ik vroeg van aan haar zo van ja als je kinderen krijgt gl ga je die dopen,006821,,0 days 00:00:04,4.0,fn006821(069),0.20454545454545456,0.4090909090909091,0.3181818181818182,0.3181818181818182,0.5227272727272727
13,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701144(091).wav,69484,'k heb gewoon gezegd mevrouw zeg ik geef geen zestigduizend frank om te kuisen zuh,701144,vlaams_brab,0 days 00:00:04,4.0,fv701144(091),0.26666666666666666,1.0,0.8666666666666667,0.8,0.9333333333333333
14,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\vl\fv700185(037).wav,171404,ja dat n dat is n maar als ge alleen vanachter remt dan uh ggg slipt dat ding,700185,oost_vlaams,0 days 00:00:04,4.0,fv700185(037),0.3888888888888889,0.5555555555555556,0.3888888888888889,0.5,0.5555555555555556
15,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-c\vl\fv701153(074).wav,130924,ja ja enfin dus uhm ik ben benieuwd wat dat netto gaat opleveren nu ik drie uur meer,701153,limburg,0 days 00:00:04,4.0,fv701153(074),0.2777777777777778,0.7222222222222222,0.3888888888888889,0.7222222222222222,0.8333333333333334
16,S:\Downloads\20151207_CGN_2_0_3\CGN_2.0.3\data/audio/wav\comp-d\nl\fn006906(004).wav,217324,ik kon 't ook goed verstaan en uhm uh 't waren twee uh ja beetje ja leuke jongens waren 't wel,006906,,0 days 00:00:04,4.0,fn006906(004),0.3333333333333333,1.0,0.5238095238095238,0.7142857142857143,0.7619047619047619
